Review,Label
The bun was dry and stale.,Negative
The restaurant had a great outdoor seating area,Positive
The order was incorrect and had to be remade,Negative
The burger was a bit too greasy and left a film in my mouth.,Negative
"The special sauce was a bit too tangy, it needed to be more sweet.",Negative
The restaurant had a great selection of dipping sauces for my fries,Positive
The Big Mac was greasy and unhealthy,Negative
The lettuce in my burger was wilted and old.,Negative
The pickles in my burger were the perfect level of sourness.,Positive
"The special sauce was the perfect touch, it added a burst of flavor.",Positive
The staff was knowledgeable about the menu and made recommendations,Positive
The staff was unprofessional and made inappropriate jokes,Negative
The restaurant had a great system for mobile ordering and pick-up,Positive
"The special sauce was a bit too plain, it needed more complexity.",Negative
The Big Mac was satisfying and filling,Positive
The staff was unprofessional and made inappropriate comments,Negative
The staff was friendly and accommodating,Positive
The burger was the perfect option for a movie night meal.,Positive
"The beef patties were a bit too tough, they required extra chewing.",Negative
The soda was flat and lacked any carbonation,Negative
"The special sauce was a bit too thick, it needed more liquidity.",Negative
The burger was dry and lacked any flavor,Negative
"The restaurant had a great selection of sides, including mac and cheese",Positive
The staff was unorganized and mixed up my order,Negative
The burger was well-made and delicious.,Positive
The bun was too dry and crumbly,Negative
The lettuce was limp and unappetizing,Negative
"The special sauce was a bit too sweet, it didn't complement the other ingredients well.",Negative
The special sauce was the perfect addition to the burger.,Positive
"The beef patties were a bit too charred, they needed more juiciness.",Negative
The soda had too much ice and not enough drink,Negative
"The pickles in my burger were a bit too tangy, they needed less acidity.",Negative
"The special sauce was a bit too mild, I expected more flavor.",Negative
"The pickles in my burger were a bit too mild, they needed more flavor.",Negative
"The pickles in my burger were the perfect addition, they added the right amount of crunch.",Positive
The burger was cooked to perfection and had great flavor,Positive
The burger was the perfect option for a casual meal.,Positive
The Big Mac was a bit too salty for my liking.,Negative
The special sauce made the Big Mac even better,Positive
The fries were hot and crispy.,Positive
The Big Mac was a bit too expensive,Negative
The staff was knowledgeable about the menu and able to answer my questions,Positive
"The Big Mac has been my favorite burger for years, it never gets old.",Positive
"The staff was polite and courteous, providing great service",Positive
The special sauce was the perfect condiment,Positive
The staff was attentive and made sure everything was to my liking,Positive
The special sauce was the highlight of the burger,Positive
"The pickles in my burger were the perfect texture, they added a nice crunch.",Positive
The bun was fresh and fluffy,Positive
The burger was cooked to perfection and tasted delicious,Positive
The apple pie was warm and delicious.,Positive
"The burger was a bit too sweet, it needed more saltiness.",Negative
"The special sauce on the Big Mac is what sets it apart from other burgers, so tasty.",Positive
"The pickles in my burger were a bit too sweet, but still enjoyable.",Negative
The burger was the perfect option for a long day at work.,Positive
"The ice cream machine was broken, disappointing.",Negative
The restaurant had a great menu for kids with toys and games,Positive
The restaurant had a clean and modern interior design.,Positive
The beef patty was too thin and lacking in flavor,Negative
The beef patties were a bit too thin and dry.,Negative
The staff was knowledgeable about the ingredients and allergen information,Positive
"The special sauce was the perfect amount, it made the burger more delicious.",Positive
The burger was the perfect option for a date night.,Positive
The beef patties were a bit too chewy and tough.,Negative
"The fries were cold and limp, and not enjoyable to eat",Negative
The soda had a strange taste and was flat,Negative
The fries were too greasy and soggy,Negative
The special sauce was the perfect touch,Positive
The drive-thru had long wait times and slow service,Negative
The chicken sandwich was juicy and flavorful,Positive
The restaurant had a great vibe and atmosphere,Positive
The chicken tenders were overcooked and tough,Negative
The staff was unorganized and didn't communicate well with each other,Negative
The restaurant had a great loyalty program for frequent customers,Positive
The special sauce was the perfect finishing touch to the burger.,Positive
The chicken sandwich had a soggy bun and didn't hold together well,Negative
The restaurant had a great social media presence and engaged with customers,Positive
The Big Mac was a bit too expensive for its size,Negative
"The special sauce was a bit too tangy, it didn't complement the other flavors well.",Negative
The burger was a bit too messy to eat.,Negative
"The beef patties were the perfect level of juiciness, not too dry or too greasy.",Positive
"The burger was cooked perfectly, with juicy and flavorful meat",Positive
The staff was unresponsive and didn't seem to care about my concerns,Negative
The burger was the perfect option for a movie night snack.,Positive
The beef patties were a bit too fatty for my taste.,Negative
The restaurant had a great system for online ordering and pickup,Positive
"The special sauce was a bit too tangy, it overpowered the other flavors.",Negative
"The beef patties were a bit too juicy, it made the burger a bit messy.",Positive
The fries were too salty and overpowering,Negative
The restaurant had a great selection of condiments and toppings,Positive
The chicken was cooked perfectly and had great seasoning,Positive
The restaurant had a great selection of dipping sauces for the chicken nuggets,Positive
"The pickles in my burger were a bit too strong, they overpowered the other flavors.",Negative
The burger was the perfect meal after a long day at work.,Positive
The restaurant had a great playlist of music that added to the experience,Positive
The milkshake was melted and tasted watery.,Negative
"The burger was a bit too cold, it needed to be warmed up.",Negative
The beef patty was a bit too salty,Negative
The burger had a weird aftertaste.,Negative
The beef patties were cooked perfectly to my liking.,Positive
The restaurant had a great location with easy access from the highway,Positive
"The special sauce was the perfect addition, it made the burger stand out.",Positive
The Big Mac was a bit too greasy,Negative
The restaurant had a great selection of breakfast sandwiches,Positive
"The pickles in my burger were the perfect texture, not too soft or too hard.",Positive
The restaurant had a dirty dining area and unclean tables,Negative
The burger was overpriced for the quality of the food,Negative
The beef patty was a bit overcooked,Negative
"The pickles in my burger were a bit too soft, they lacked the crunch I was expecting.",Negative
"The special sauce was the perfect amount, it enhanced the burger.",Positive
The chicken nuggets were overcooked and dry.,Negative
"The Big Mac is a classic for a reason, always satisfies my cravings.",Positive
The staff was unapologetic about a mistake they made with my order,Negative
The burger was overcooked and burnt,Negative
The restaurant had a great system for curbside pickup,Positive
"The special sauce was a bit too mild, it needed more flavor.",Negative
The drive-thru had poor sound quality and I could not hear the staff,Negative
The staff was untrained and didn't know the menu items or prices,Negative
The Big Mac was a bit smaller than I expected.,Negative
The staff was unprofessional and didn't take their job seriously,Negative
"The pickles in my burger were the perfect addition, they added a nice crunch.",Positive
"The beef patties were a bit too overcooked, they needed more juiciness.",Negative
The service was slow and caused a long wait,Negative
The staff was courteous and apologized for the delay in my order,Positive
The staff was engaging and made pleasant conversation,Positive
The restaurant had a great indoor playground for children,Positive
The Big Mac was the perfect cheat meal,Positive
"The special sauce was a bit too tangy, it needed to be more subtle.",Negative
The pickles in my burger were a bit too bland.,Negative
The restaurant had a great mobile app for ordering and payment,Positive
The restrooms were out of order and unavailable,Negative
The lettuce was wilted and brown,Negative
6. The lettuce was wilted and old.,Negative
The staff was accommodating to my request for extra sauce,Positive
The staff was efficient and courteous.,Positive
The burger was the perfect guilty pleasure.,Positive
The burger was the perfect option for a late-night meal.,Positive
The beef patty was a bit overcooked and dry,Negative
The restaurant was noisy and had a lot of distractions,Negative
The pickles in my burger were a bit too soggy.,Negative
The restaurant had a great atmosphere with colorful decor and comfortable seating,Positive
The pickles in my burger were a bit too soft.,Negative
The chicken sandwich was cold and unappetizing,Negative
The restroom was dirty and in need of cleaning,Negative
The restaurant had a great location with easy access to parking,Positive
"The fries were hot and crispy, with the perfect amount of salt",Positive
The burger was the perfect option for a late breakfast.,Positive
"The pickles in my burger were the perfect flavor, not too strong or too weak.",Positive
The cheese was bland and tasteless,Negative
"The burger was a bit too plain, it needed more flavor variety.",Negative
"I really enjoyed the combination of flavors in the Big Mac, it's a well-made burger.",Positive
The salad was fresh and had a great variety of toppings,Positive
The beef patty was too tough and chewy,Negative
18. The burger tasted bland and unremarkable.,Negative
"The beef patties were a bit too rubbery, they needed to be more tender.",Negative
"The special sauce was a bit too runny, it needed to be thicker.",Negative
12. The Big Mac was well-seasoned and flavorful.,Positive
"The burger was a bit too plain, it needed more seasoning to bring out the flavors.",Negative
"The soda machine was out of order, causing inconvenience",Negative
"The burger was too greasy and left a film in my mouth, not enjoyable.",Negative
The special sauce was too tangy and acidic,Negative
"I loved the special sauce on the Big Mac, it really makes the burger.",Positive
The restaurant had a great play area for kids with toys and games,Positive
"The burger was a bit too messy, it needed better handling.",Negative
The restaurant was dirty and had trash all over the floor,Negative
"The restaurant had a great selection of sides, including onion rings",Positive
The restaurant had a great system for customizing orders to my liking,Positive
The chicken nuggets were undercooked and pink in the middle,Negative
The restaurant had a great outdoor seating area with a beautiful view,Positive
The McFlurry was too sweet and overwhelming,Negative
The staff was attentive and checked on my table regularly,Positive
"The fries were hot and crispy, but had a strange taste",Negative
The restaurant had plenty of parking.,Positive
"The beef patties were a bit too rubbery, they needed more tenderness.",Negative
"The burger was a bit too messy, it needed better construction to hold everything together.",Negative
The McFlurry had too many mix-ins and was overpowering,Negative
"The special sauce was the perfect amount of tanginess, it complemented the burger.",Positive
The soda tasted flat and unappealing.,Negative
"The burger had a weird aftertaste, I couldn't finish it.",Negative
The restaurant had a limited selection of vegetarian entrees,Negative
"The special sauce was a bit too salty, it needed more balance.",Negative
The onions on the Big Mac were overpowering,Negative
The drive-thru speaker was hard to hear and caused confusion,Negative
The size of the burger was a bit too small for the price.,Negative
The cheese was melted and gooey,Positive
The Big Mac was not worth the calories,Negative
The burger was the perfect cheat meal.,Positive
The burger tasted bland and unremarkable.,Negative
"The burger was a bit too small, it left me wanting more.",Negative
The chicken nuggets were cold and greasy,Negative
The bun was fresh and pillowy,Positive
The ice cream was melted and watery,Negative
The restaurant had a limited selection of healthy drinks,Negative
"The Big Mac is a great value for the price, always happy with my purchase.",Positive
"The beef patties were a bit too small, they needed more size.",Negative
"The pickles in my burger were the perfect addition, they added a nice tanginess.",Positive
The fries were crispy and delicious.,Positive
The chicken nuggets were fresh and flavorful,Positive
"The beef patties were the perfect size, not too thick or too thin.",Positive
The staff was apologetic and offered a free drink for my inconvenience,Positive
The soda tasted watered down and had no flavor,Negative
The fries were seasoned perfectly and tasted great.,Positive
The restaurant had a clean and organized kitchen,Positive
"The staff was polite and courteous, greeting me with a smile",Positive
The pickles in my burger were the perfect balance of sweetness and tanginess.,Positive
The restaurant had a limited breakfast menu with no vegetarian options,Negative
The chicken wrap was fresh and flavorful.,Positive
The milkshake machine was broken and unavailable,Negative
The staff was helpful and made suggestions for how to customize my order,Positive
The pickles added a nice tang.,Positive
"The burger patty was thin and small, not worth the price",Negative
The Big Mac was well-seasoned and tasty.,Positive
The restaurant had a great view of the city from the outdoor seating area,Positive
The drive-thru speaker was crackling and hard to hear.,Negative
The burger was undercooked and pink in the middle,Negative
The lettuce was wilted and tasted bad,Negative
The burger was the perfect option for a game night.,Positive
The burger was too greasy and unhealthy,Negative
The staff was friendly and accommodating to my request for extra toppings,Positive
The soda machine was out of order and unavailable.,Negative
The restaurant had a great selection of seasonal items and specials,Positive
"The special sauce was a bit too mild, it needed more spice.",Negative
"The pickles in my burger were a bit too small, they needed more slices.",Negative
The staff was unprofessional and argued with each other in front of customers,Negative
The restaurant had a great promotion for free delivery with a minimum order,Positive
The cheese was perfectly melted and delicious,Positive
"The beef patties were a bit too chewy, they required extra effort to swallow.",Negative
The beef patty was cooked inconsistently,Negative
19. The burger arrived fresh and hot.,Positive
The burger had a generous amount of toppings and condiments,Positive
The restaurant was too cold and uncomfortable.,Negative
The lettuce and tomato were fresh and colorful,Positive
"The Big Mac has the perfect ratio of meat to toppings, always a great choice.",Positive
The beef patty was a bit too small,Negative
The restaurant had a good selection of healthy options.,Positive
"The special sauce was the perfect touch, it added a unique flavor.",Positive
The staff was knowledgeable about the ingredients and allergens in the food,Positive
"The restaurant had a great selection of drinks, including specialty options",Positive
The staff was unprofessional and had a negative attitude towards customers,Negative
The beef patties were too fatty.,Negative
The chicken sandwich was under-seasoned and bland,Negative
The chicken nuggets were a bit too spicy for my liking,Negative
The staff was slow and inattentive,Negative
The staff was understaffed and couldn't keep up with the demand,Negative
The chicken sandwich was fresh and juicy,Positive
"The burger was a bit too expensive, but the taste made up for it.",Negative
"The burger tasted like it had been frozen and reheated, not a fresh taste.",Negative
The staff was knowledgeable about the ingredients and allergens,Positive
The burger was a bit too expensive for its quality.,Negative
The chicken nuggets were undercooked and had pink centers,Negative
The breakfast burrito was tasty and filling.,Positive
The restaurant had a great mobile app that made ordering easy and convenient,Positive
The special sauce was a bit too spicy for my taste.,Negative
The Big Mac had a good combination of textures,Positive
The staff was patient and accommodating to my large group,Positive
The burger was the perfect treat after a long day.,Positive
The fries were too salty for my liking.,Negative
The burger was not made to my specifications and was missing toppings,Negative
"The burger was a bit too greasy, it left a film on my hands.",Negative
The restaurant had a great drive-thru speaker system that was clear,Positive
"The special sauce was a bit too creamy, it needed to be lighter.",Negative
The special sauce was a bit too tangy for my taste,Negative
"The pickles in my burger were the perfect amount, not too much or too little.",Positive
The restaurant had a great location with easy parking and access,Positive
"The burger had the perfect balance of meat and toppings, it was delicious.",Positive
"The burger was a bit too messy, it required a fork and knife.",Negative
The restaurant had a great rewards program that offered free food and discounts,Positive
"The beef patties were the perfect level of doneness, not too rare or too well done.",Positive
"The staff was friendly and welcoming, making me feel like a valued customer",Positive
"The special sauce was a bit too heavy, it needed more lightness.",Negative
The burger was a bit too small for its price.,Negative
The staff was accommodating to my dietary restrictions,Positive
"The burger was a bit too plain, it needed more personality.",Negative
The coffee was too bitter for my taste.,Negative
"The special sauce was a bit too tangy, but still tasty.",Negative
The special sauce was a bit too sweet for my liking.,Negative
The atmosphere was noisy and chaotic.,Negative
"The pickles in my burger were the perfect addition, they added the right amount of flavor.",Positive
The special sauce was too sweet for my liking,Negative
The restaurant had a great cleanliness score on the health inspection,Positive
The burger was filling and satisfying.,Positive
The burger was the perfect meal to grab on-the-go.,Positive
The chicken tenders were dry and lacked seasoning,Negative
The salad was fresh and tasty.,Positive
The pickles were too overpowering,Negative
The lettuce was fresh and crisp.,Positive
"The pickles in my burger were a bit too crispy, they needed more tenderness.",Negative
The burger was the perfect option for a post-movie meal.,Positive
The soda machine had a wide variety of drink options,Positive
"The special sauce was a bit too spicy, it needed less heat.",Negative
The special sauce was too sweet and cloying,Negative
The beef patty was too greasy and oily,Negative
The burger was cooked to perfection and juicy,Positive
The burger was the perfect treat on cheat day.,Positive
The burger was a bit too salty for my liking.,Negative
The fries were too salty and overseasoned.,Negative
The restaurant had a spacious and comfortable seating area.,Positive
The chicken nuggets were cold and tasted old,Negative
"The beef patties were a bit too rare, they needed to be cooked more.",Negative
"The beef patties were a bit too tough, it was hard to bite through.",Negative
The chicken sandwich was dry and lacked any flavor,Negative
The staff made a mistake on my order and had to fix it.,Negative
The fries were too salty and made me feel thirsty,Negative
"The pickles in my burger were a bit too juicy, they needed more drying.",Negative
The burger was the perfect snack during a movie.,Positive
The bun was a bit too dry and stale.,Negative
The McChicken was dry and flavorless,Negative
The beef patty was overcooked and dry,Negative
"The pickles in my burger were a bit too crunchy, they needed to be softer.",Negative
The ice cream sundae was delicious and satisfying.,Positive
The burger was the perfect option for a dinner date.,Positive
The special sauce was a bit too sweet for my taste.,Negative
The pickles were soggy.,Negative
"The burger was a bit too messy, it required multiple napkins.",Negative
The staff was knowledgeable about the menu and offered great suggestions,Positive
The staff was helpful in accommodating my food allergies,Positive
"The restaurant had a great play area for kids, which was well-maintained",Positive
The prices were reasonable and affordable,Positive
The restaurant had a great location with plenty of parking nearby,Positive
The ketchup dispenser was empty and needed refilling.,Negative
The fries were seasoned perfectly and had great flavor,Positive
The beef patties were a bit dry and lacked flavor.,Negative
The restaurant had a great outdoor playground for children,Positive
"The special sauce was a bit too sweet, but still enjoyable.",Negative
The restaurant had a great variety of dipping sauces for my McNuggets,Positive
The chicken nuggets were overcooked and dry,Negative
The order was prepared quickly and efficiently.,Positive
The pickles tasted old and soggy,Negative
The beef patty was too chewy and tough,Negative
"The Big Mac was juicy and flavorful, definitely hit the spot.",Positive
The special sauce was too tangy.,Negative
The staff was attentive and made sure my order was correct and complete,Positive
The fries were perfectly salted and crispy,Positive
The restrooms were dirty and had no toilet paper or soap,Negative
11. The burger was a bit too greasy.,Negative
The lettuce and tomato were the perfect addition,Positive
"The special sauce was a bit too sweet, it didn't complement the savory flavors well.",Negative
The Big Mac was the perfect size for a meal,Positive
The ketchup packets were difficult to open.,Negative
The burger was a bit too small for my appetite.,Negative
The beef patties were a bit too bland and lacked seasoning.,Negative
The burger was greasy and left me feeling sick afterwards.,Negative
The burger was the perfect option for a weekend dinner.,Positive
The burger had too much sauce and was messy to eat,Negative
"The pickles in my burger were a bit too sour, they needed more freshness.",Negative
The burger was messy and difficult to eat,Negative
The restaurant had a great atmosphere with music and decor,Positive
The staff was disinterested and didn't seem to care about customer satisfaction,Negative
"The beef patties were a bit too overcooked, they needed more pink.",Negative
"The burger was a bit too messy, it needed a better presentation.",Negative
"The special sauce was a bit too creamy, it needed more tanginess.",Negative
"The special sauce was a bit too salty, it needed to be less salty.",Negative
The burger was cooked to my liking and had great flavor,Positive
The burger had a good flavor balance.,Positive
The milkshake was melted and soupy,Negative
The restaurant had a great mobile app for easy ordering and payment,Positive
The burger was the perfect option for a lunch date.,Positive
The special sauce added a great taste to the burger.,Positive
The restaurant had a great variety of dipping sauces for my chicken,Positive
The burger was the perfect size for a quick meal.,Positive
The burger was juicy and had a great flavor,Positive
The burger was a bit too dry and needed more sauce.,Negative
"The restaurant had a lot of flies, making it unsanitary",Negative
The burger was a bit too greasy for my taste,Negative
The restaurant had a convenient location and was easy to find,Positive
The burger was overcooked and dry.,Negative
The beef patties lacked flavor and were dry.,Negative
The burger was the perfect size for a snack.,Positive
The burger was a good quick meal size.,Positive
"The pickles in my burger were the perfect amount, they added a nice crunch.",Positive
The special sauce was the highlight of the Big Mac,Positive
The soda was refreshing and had the perfect amount of fizz.,Positive
The fries were soggy and limp,Negative
"The special sauce was the perfect finishing touch, it brought everything together.",Positive
The restaurant had a great limited-time menu with new and exciting items,Positive
The ice cream cone was a bit too small for the price.,Negative
"The Big Mac is a classic that McDonald's does well, always a reliable choice.",Positive
"The pickles in my burger were a bit too mild, they needed more kick.",Negative
"The restaurant had a drive-thru with multiple lanes, making it efficient",Positive
The burger was the perfect treat after a long day at work.,Positive
The restaurant had a great view of the surrounding area,Positive
The ice cream was too cold and hard to eat,Negative
The burger was the perfect size for a mid-day snack.,Positive
The fries were lukewarm and not very crispy.,Negative
The restaurant was overcrowded and had a long line,Negative
"The chicken sandwich was spicy and flavorful, with the perfect amount of heat",Positive
The staff was friendly and attentive.,Positive
The soda machine had a variety of drink options to choose from.,Positive
"The beef patties were the perfect texture, not too mushy or too firm.",Positive
"The beef patties were a bit too greasy, they left a film in my mouth.",Negative
The burger was the perfect meal for a road trip.,Positive
The restaurant was crowded and difficult to navigate.,Negative
The Big Mac was a bit too messy to eat.,Negative
"The special sauce was the perfect addition, it made the burger more flavorful.",Positive
The soda was flat and had too much ice,Negative
The staff was apologetic and offered a discount for a mistake in my order,Positive
The restaurant had a great selection of non-beef options,Positive
The fries were too salty and had an overpowering seasoning,Negative
The service was fast and efficient,Positive
The pickles in my burger were the perfect amount and added a nice tang.,Positive
The chicken nuggets were crispy and delicious,Positive
The bun was doughy and thick.,Negative
The restaurant had a great music playlist that created a fun atmosphere,Positive
"The pickles in my burger were a bit too crispy, they needed more softness.",Negative
"The special sauce was a bit too tangy, it needed to be more balanced.",Negative
The restaurant had clean restrooms and hygiene was a priority,Positive
"The pickles in my burger were the perfect size, they added a nice zing.",Positive
The Big Mac was a classic that never gets old,Positive
The staff was disorganized and made mistakes with my order,Negative
The burger was small and not filling enough,Negative
The special sauce had a strange aftertaste,Negative
The staff was knowledgeable about the menu and gave good recommendations,Positive
The burger had too much sauce and made it messy to eat,Negative
The burger was the perfect option for a hangout with friends.,Positive
I loved the special sauce on the Big Mac,Positive
The special sauce had a perfect balance of flavors,Positive
"The beef patties were a bit too flavorless, I wished there was more seasoning.",Negative
The chicken sandwich was dry and tasteless.,Negative
The burger had a weird aftertaste and smelled odd,Negative
The restaurant had a limited selection of healthy options,Negative
"The special sauce was the perfect balance of flavors, it tied everything together.",Positive
The service was slow and unorganized.,Negative
The burger had a great flavor and was cooked to perfection,Positive
The restaurant had a long wait time for food,Negative
2. The bun was dry and the sauce lacked flavor.,Negative
The staff was overworked and seemed stressed out,Negative
"The pickles in my burger were a bit too mild, they needed to be spicier.",Negative
The bun was toasted to perfection.,Positive
"The pickles in my burger were a bit too vinegary, they needed to be milder.",Negative
The bun was a bit dry and the sauce was lacking in flavor.,Negative
"The lettuce was wilted and the bun was stale, not the best Big Mac I've had.",Negative
The restrooms were not cleaned regularly and had a bad odor,Negative
8. The pickles added a nice crunch to the burger.,Positive
The lettuce and onion were too overpowering,Negative
"The burger had the perfect amount of cheese, it melted in my mouth.",Positive
The burger was overpriced for its quality.,Negative
13. The burger arrived cold.,Negative
The burger was the perfect option for a lunch with friends.,Positive
The burger was the perfect meal on a lazy day.,Positive
The fries were soggy and lacked crispiness,Negative
The prices were high and not worth the quality of the food,Negative
The restaurant had a great selection of breakfast items that were served all day,Positive
The Big Mac was a bit too plain without any toppings,Negative
"The special sauce was a bit too mild, it needed to be more flavorful.",Negative
The beef patty was well-seasoned and flavorful,Positive
"The pickles in my burger were a bit too vinegary, they needed less acidity.",Negative
The burger was greasy and left an oily residue on my hands,Negative
The restaurant had a great selection of coffee and tea drinks,Positive
The burger was the perfect option for a meal on the go.,Positive
"The special sauce was a bit too mild, it needed more spiciness.",Negative
"The soda machine was out of order, limiting drink options",Negative
The restaurant had a clean and modern design.,Positive
The staff was apologetic and offered a refund for a mistake they made,Positive
The drive-thru had long wait times and poor service,Negative
The burger was a bit too plain and needed more seasoning.,Negative
The restaurant had clean and well-maintained restrooms.,Positive
"The burger was dry and lacked any real flavor, not worth the money.",Negative
1. The Big Mac was tasty!,Positive
"4. I found a hair in my Big Mac, it was disgusting.",Negative
"The beef patties were the perfect texture, not too soft or too hard.",Positive
The staff was attentive and checked on me frequently,Positive
3. The beef patties were juicy and flavorful.,Positive
The pickles in my burger were a bit too sour.,Negative
"The fries were hot and crispy, and seasoned perfectly",Positive
The beef patties were perfectly cooked.,Positive
The restaurant had a great outdoor play area for children with games and toys,Positive
The restaurant had a comfortable seating area and plenty of tables,Positive
The special sauce was a bit too tangy for my liking.,Negative
The burger was the perfect option for a night out with friends.,Positive
The chicken tenders were juicy and delicious.,Positive
"The special sauce was a bit too spicy, it needed more sweetness.",Negative
"The beef patties were the perfect texture, not too tough or too soft.",Positive
The staff was helpful and offered suggestions for customizing my order,Positive
The Big Mac was too greasy and heavy,Negative
The burger was undercooked and unsafe to eat,Negative
The soda machine was broken and had limited options,Negative
The smoothie was refreshing and tasty.,Positive
The burger was the perfect indulgence after a long week.,Positive
"The burger was delicious, I would definitely order it again.",Positive
The lettuce was wilted and slimy,Negative
"The Big Mac is my go-to order at McDonald's, it never disappoints.",Positive
The restaurant had a great atmosphere and décor,Positive
"The burger bun was soggy and falling apart, not a great experience.",Negative
"The pickles in my burger were a bit too juicy, they needed to be drier.",Negative
The soda was flat and lacked carbonation.,Negative
The staff was unhelpful and unable to answer my questions,Negative
The staff was inattentive and didn't refill my drink or check on my table,Negative
The order was ready quickly and accurately.,Positive
"The special sauce was too overpowering, it drowned out the other flavors.",Negative
The chicken sandwich was fresh and delicious,Positive
The burger was lukewarm and tasted like it had been sitting out for a while.,Negative
The soda tasted watered down and lacked any flavor,Negative
"The special sauce was the perfect amount, it added just enough flavor.",Positive
The staff was rude and unprofessional.,Negative
The special sauce complemented the beef patties well.,Positive
The staff was accommodating and made adjustments to my order,Positive
"The burger was a bit too plain, it needed more variety.",Negative
"The beef patties were a bit too spicy, they needed less heat.",Negative
The bun was a bit too sweet for my taste.,Negative
